Abandon;;verb;{zu}je </i>[zu´.dʑɛ̝]<i>;;s
Abdicate, disown;;verb;woe{ye} </i>[wo̞.ɛ̝.jɛ̝´]<i>;;s
Ablative marker, away from;;;wo̞ </i>[wo̞]<i>;;s
Able, be able;;verb;{e}dze </i>[ɛ̝´.dzɛ̝]<i>;;s
Above;;adj;{e}ze </i>[ɛ̝´.zɛ̝]<i>;;s
Above, high;;adj;{e}ze </i>[ɛ̝´.zɛ̝]<i>;;s
Accusative marker;;;;Animate: gɛ̝ <br> Inanimate: zɛ̝´;s
Across;;adj;kegu </i>[kɛ̝.gu]<i>;;s
Act (as a character, a certain way);;verb;ma{tti}lu </i>[mä.t:i´.lu]<i>;;s
Action;;inan;inton </i>[in.to̞n´]<i>;;s
Add;;verb;bbi </i>[b:i]<i>;;s
Additional;;adj;{kin}ki </i>[kin´.ki]<i>;Borrowed from Jkawi;s
ADHD;;inan;joguwedo{ki}deyan </i>[dʑo̞.gu.wɛ̝.do̞.ki´.dɛ̝.jän]<i>;;s
Adma;;an;{a}be </i>[ä´.bɛ̝]<i>;See <a href=https://lot.icosahedr.online/wiki/Kaneedkind#Sexes“>Kaneedkind sexes</a>;s
Admit;;inan;gu{ye} </i>[gu.jɛ̝´]<i>;;s
Advert;;inan;po{babe} </i>[po̞.bä´.bɛ̝´]<i>;;s
Advertise;;verb;po{badiinbe} </i>[po̞.bä´.di:n´.bɛ̝´]<i>;;s
Advise;;verb;e{yesa} </i>[ɛ̝.jɛ̝´.sä´]<i>;;s
Aerocuda;;an;;;hy
After;;adj;e{pa} </i>[e.pä]<i>;POSTPOSITION: Used to mark past tense in literary contexts<br> ADVERB: After<br> Borrowed from Loremese;religion
After;;adj;fo{dam} </i>[fo̞.däm´]<i>;POSTPOSITION: Used to mark past tense in literary contexts<br> ADVERB: After;s
Afternoon, midday;;inan;{dam}jo </i>[däm´.dʑo̞]<i>;;s
Again, once more;PEPE;;penupe </i>[pɛ̝.nu.pɛ̝]<i>;;s
Again, once more;PITO;;{pi}to </i>[pi´.to̞]<i>;;ahan
Ail, bother;;verb;{kye}ta </i>[kjɛ̝´.tä]<i>;;s
Air;;an;e{fe} </i>[ɛ̝.fɛ̝´]<i>;;s
Aircraft, airplane;;inan;{fe}pe{ce} </i>[fɛ̝´.pɛ̝.tɕɛ̝´]<i>;;s
Album (music);;inan;so{je} </i>[so̞.dʑɛ̝´]<i>;;s
Album (photos);;inan;{ikyoje} </i>[i´.kjo̞´.dʑɛ̝´]<i>;;s
Alcohol;;inan;su{ya} </i>[su.jä´]<i>;;s
Alcohol;;inan;su{ya} </i>[su.jä´]<i>;;s
Alhi;LAI;inan;la{i} {di}ye </i>[lä.i´ di´.jɛ̝]<i>;;s
All, everything;;adj;gu </i>[gu]<i>;;s
Alleviate;;verb;;;s
Alloti;ŚALODI;inan;sha{lo}di{sa} </i>[ɕä.lo̞´.di.sä´]<i>;;s
Allotian;ŚALODI;an;sha{lo}di si </i>[ɕä.lo̞´.di si]<i>;;s
Allow, let, can, may;;verb;ze{bee} </i>[zɛ̝.bɛ̝:´]<i>;;s
Amafjk (Language);AMAHHI;inan;a{ma}hhi {di}ye </i>[ä.mä´.h:i di´.jɛ̝]<i>;;s
Analyze;;verb;gu{she}ne </i>[gu.ɕɛ̝´.nɛ̝]<i>;;s
And;PE;;pe </i>[pɛ̝]<i>;;s
Andria;ANDIJA;inan;an{di}ya{sa} </i>[än.di´.jä.sä´]<i>;;s
Andrian (Language);ANDIJA;inan;an{di}ya {di}ye </i>[än.di´.jä di´.jɛ̝]<i>;;s
Andrian (People);ANDIJA;an;an{di}ya si </i>[än.di´.jä si]<i>;;s
Angel (general);;an;;;s
Angle (math);;inan;;;s
Animal;;an;e{ya}wan </i>[ɛ̝.jä´.wän]<i>;;s
Annihilate, destroy;;verb;be{se} </i>[bɛ̝.sɛ̝´]<i>;;s
Announce;;verb;{yepo} </i>[jɛ̝´.po̞´]<i>;;s
Annoy;;verb;;;s
Anorexia;;inan;shisi{we} </i>[ɕi.si.wɛ̝´]<i>;;s
Another (thing);;adj;zhin{se} </i>[ʑin.sɛ̝´]<i>;;s
Anral;ANLA;inan;an{lasa} </i>[än.lä´.sä´]<i>;;s
Anralian (Language);ANLA;inan;an{la} {di}ye </i>[än.lä´ di´.jɛ̝]<i>;;s
Anralian (People);ANLA;an;an{la} si </i>[än.lä´ si]<i>;;s
Answer;;verb;{le}we </i>[lɛ̝´.wɛ̝]<i>;;s
Antelope;;an;{nye}ko </i>[njɛ̝´.ko̞]<i>;;s
Antimony;;inan;pu{ko} </i>[pu.ko̞´]<i>;;s
Anxiety;;inan;;;s
Apartment;;inan;bi{ce} </i>[bi.tɕɛ̝´]<i>;;s
Apologize;;verb;;;s
Appear;;verb;yugu </i>[yu.gu]<i>;;s
Append;;verb;;;s
Apple;;an;{si}on </i>[si´.o̞n]<i>;Borrowed from Azkali;s
Application, program;;inan;ju{wa} </i>[dʑu.de.wä´]<i>;;s
Arabic (Language);ALABIIJA;inan;alibii{ya}ye </i>[ä.li.bi:´jä.jɛ̝]<i>;;real
Archangel;;an;;;s
Archer, bowsman;;an;zo{ce}si </i>[zo̞.ɕɛ̝´.si]<i>;;s
Area (math);;inan;be{de} </i>[bɛ̝.dɛ̝´]<i>;;s
Arm;;inan;{ta}we </i>[tä´.wɛ̝]<i>;;s
Armos;;inan;;;hy
