Abandon;;verb;{zu}je </i>[zu´.dʑɛ̝]<i>;;s
Abdicate, disown;;verb;woe{ye} </i>[wo̞.ɛ̝.jɛ̝´]<i>;;s
Ablative marker, away from;;;wo̞ </i>[wo̞]<i>;;s
Able, be able;;verb;{e}dze </i>[ɛ̝´.dzɛ̝]<i>;;s
Above;;adj;{e}ze </i>[ɛ̝´.zɛ̝]<i>;;s
Above, high;;adj;{e}ze </i>[ɛ̝´.zɛ̝]<i>;;s
Academic;;adj;{ye}pe{dyi} </i>[jɛ̝´.pɛ̝.dji´ ]<i>;;s
Academy, college, university, academia;;inan;{ye}pe{dyi} </i>[jɛ̝´.pɛ̝.dji´ ]<i>;;s
Accusative marker;;;;Animate: gɛ̝ <br> Inanimate: zɛ̝;s
Across;;adj;kegu </i>[kɛ̝.gu]<i>;;s
Act (as a character, a certain way);;verb;ma{tti}lu </i>[mä.t:i´.lu]<i>;;s
Action;;inan;in{ton} </i>[in.to̞n´]<i>;;s
Add;;verb;bbi </i>[b:i]<i>;;s
Additional;;adj;{kin}ki </i>[kin´.ki]<i>;Borrowed from Jkawi;s
ADHD;;inan;joguwedo{ki}deyan </i>[dʑo̞.gu.wɛ̝.do̞.ki´.dɛ̝.jän]<i>;;s
Adma;;an;{a}be </i>[ä´.bɛ̝]<i>;See <a href=https://lot.icosahedr.online/wiki/Kaneedkind#Sexes“>Kaneedkind sexes</a>;s
Admit;;inan;gu{ye} </i>[gu.jɛ̝´]<i>;;s
Advert , advertisment;;inan;po{babe} </i>[po̞.bä´.bɛ̝´]<i>;;s
Advertise;;verb;po{badiinbe} </i>[po̞.bä´.di:n´.bɛ̝´]<i>;;s
Advise;;verb;e{yesa} </i>[ɛ̝.jɛ̝´.sä´]<i>;;s
Aerocuda;KAKKUDA;an;ka{kku}da </i>[kä.k:u´.dä]<i>;;hy
Africa;AFULIKA;inan;{a}fu{li}ka </i>[ä´.fu.li´.kä]<i>;;real
African (person);AFULIKA;an;{a}fu{li}kasi </i>[ä´.fu.li´.kä.si]<i>;;real
After;;adj;e{pa} </i>[e.pä]<i>;POSTPOSITION: Used to mark past tense in literary contexts<br> ADVERB: After<br> Borrowed from Loremese;religion
After;;adj;fo{dam} </i>[fo̞.däm´]<i>;POSTPOSITION: Used to mark past tense in literary contexts<br> ADVERB: After;s
Afternoon, midday;;inan;{dam}jo </i>[däm´.dʑo̞]<i>;;s
Again, once more;PEPE;;penupe </i>[pɛ̝.nu.pɛ̝]<i>;;s
Again, once more;PITO;;{pi}to </i>[pi´.to̞]<i>;;ahan
Agree, side (with);;verb;de{zo} </i>[dɛ̝.zo̞´]<i>;;s
Ail, bother;;verb;{kye}ta </i>[kjɛ̝´.tä]<i>;;s
Air;;an;e{fe} </i>[ɛ̝.fɛ̝´]<i>;;s
Aircraft, airplane;;inan;{fe}pe{ce} </i>[fɛ̝´.pɛ̝.tɕɛ̝´]<i>;;s
Album (music);;inan;so{je} </i>[so̞.dʑɛ̝´]<i>;;s
Album (photos);;inan;{ikyoje} </i>[i´.kjo̞´.dʑɛ̝´]<i>;;s
Alcohol;;inan;su{ya} </i>[su.jä´]<i>;;s
Alcohol;;inan;su{ya} </i>[su.jä´]<i>;;s
Alhi;LAI;inan;la{i} {di}ye </i>[lä.i´ di´.jɛ̝]<i>;;s
All, everything, whole;;adj;gu </i>[gu]<i>;;s
Alleviate;;verb;tin{he} </i>[tin.hɛ̝´]<i>;;s
Alloti;ŚALODI;inan;sha{lo}di{sa} </i>[ɕä.lo̞´.di.sä´]<i>;;s
Allotian;ŚALODI;an;sha{lo}di si </i>[ɕä.lo̞´.di si]<i>;;s
Allow, let, can, may;;verb;ze{bee} </i>[zɛ̝.bɛ̝:´]<i>;;s
Amafjk (Language);AMAHHI;inan;a{ma}hhi {di}ye </i>[ä.mä´.h:i di´.jɛ̝]<i>;;s
Amber;;inan;shewoha{yi} </i>[ɕɛ̝.wo̞.ha.ji´]<i>;;s
Analyze;;verb;gu{she}ne </i>[gu.ɕɛ̝´.nɛ̝]<i>;;s
And;PE;;pe </i>[pɛ̝]<i>;;s
Andria;ANDIJA;inan;an{di}ya{sa} </i>[än.di´.jä.sä´]<i>;;s
Andrian (Language);ANDIJA;inan;an{di}ya {di}ye </i>[än.di´.jä di´.jɛ̝]<i>;;s
Andrian (People);ANDIJA;an;an{di}ya si </i>[än.di´.jä si]<i>;;s
Angel (general);;inan;{dope}je{ba}si </i>[do̞´.pɛ̝´.dʑɛ̝.bä´.si]<i>;;s
Angel, spirit;;inan;{doba}si </i>[do̞´.bä´.si]<i>;;ahan
Angle (math);;inan;;;s
Animal;;an;e{ya}wan </i>[ɛ̝.jä´.wän]<i>;;s
Animal skin, leather;;inan;e{yacen} </i>[ɛ̝.jä´.tɕɛ̝n´]<i>;;s
Annihilate, destroy;;verb;be{se} </i>[bɛ̝.sɛ̝´]<i>;;s
Announce;;verb;{yepo} </i>[jɛ̝´.po̞´]<i>;;s
Annoy;;verb;{kyenun} </i>[kjɛ̝´.nun´]<i>;;s
Anorexia;;inan;shisi{we} </i>[ɕi.si.wɛ̝´]<i>;;s
Anorexia;;inan;do{ke}do{gan} </i>[do̞.kɛ̝´.do̞.gän´]<i>;;ahan
Another (thing);;adj;zhin{se} </i>[ʑin.sɛ̝´]<i>;;s
Anral;ANLA;inan;an{lasa} </i>[än.lä´.sä´]<i>;;s
